Unnamed: 0,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Average Number of Words Per Sentence,Personal Pronouns Count,Average Word Length
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,,,,,,,,,,,,,,11,-3,1.749999781,0.023738872,11.23333333,0.332344214,4.626271019,11.23333333,5,6.305637982
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,,,,,,,,,,,,,,63,-33,3.199999893,0.029615005,12.35365854,0.424481737,5.11125611,12.35365854,4,6.985192498
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,,,,,,,,,,,,,,43,-27,4.374999727,0.019093079,13.73770492,0.525059666,5.705105834,13.73770492,13,7.599045346
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,,,,,,,,,,,,,,41,-73,-3.562500111,-0.038787879,14.73214286,0.493333333,6.090190476,14.73214286,6,7.476363636
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,,,,,,,,,,,,,,25,-11,2.571428388,0.02443281,13.02272727,0.396160558,5.367555132,13.02272727,7,6.862129145
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,,,,,,,,,,,,,,90,-26,1.812499972,0.04870624,14.12903226,0.48630137,5.846133451,14.12903226,7,7.531202435
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,,,,,,,,,,,,,,27,-40,-5.15384655,-0.018335684,11.25396825,0.404795487,4.663505496,11.25396825,1,6.705218618
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,,,,,,,,,,,,,,31,-11,2.099999895,0.029806259,12.90384615,0.526080477,5.371970652,12.90384615,4,7.496274218
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,,,,,,,,,,,,,,44,-53,-10.77777898,-0.011349306,12.79032258,0.520807062,5.324451857,12.79032258,4,7.566204288
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,,,,,,,,,,,,,,65,-72,-19.57143137,-0.007306889,11.27058824,0.525052192,4.718256171,11.27058824,9,7.41440501
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,,,,,,,,,,,,,,69,-22,1.936170172,0.046673287,13.98611111,0.510427011,5.798615249,13.98611111,4,7.396226415
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,,,,,,,,,,,,,,87,-26,1.852458986,0.052905464,13.72619048,0.4839549,5.684058151,13.72619048,3,7.215091067
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,,,,,,,,,,,,,,44,-15,2.034482688,0.0583501,17.13793103,0.496981891,7.05396517,17.13793103,4,7.020120724
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,,,,,,,,,,,,,,27,-29,-28.000014,-0.002484472,11.02739726,0.40621118,4.573443376,11.02739726,4,6.61863354
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,,,,,,,,,,,,,,45,-29,4.624999711,0.017410228,14.359375,0.414581066,5.909582427,14.359375,8,6.838955386
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,,,,,,,,,,,,,,45,-29,4.624999711,0.017410228,14.359375,0.414581066,5.909582427,14.359375,8,6.838955386
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,,,,,,,,,,,,,,50,-12,1.631578904,0.046625767,12.1641791,0.444171779,5.043340353,12.1641791,5,6.963190184
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,,,,,,,,,,,,,,48,-12,1.66666662,0.043530834,16.87755102,0.437726723,6.926111097,16.87755102,2,6.792019347
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,,,,,,,,,,,,,,70,-8,1.258064496,0.056569343,10.96,0.460766423,4.568306569,10.96,6,7.006386861
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,,,,,,,,,,,,,,12,-2,1.39999986,0.024630542,13.53333333,0.36453202,5.559146141,13.53333333,2,6.669950739
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,,,,,,,,,,,,,,34,-47,-6.23076971,-0.016883117,14.25925926,0.466233766,5.89019721,14.25925926,5,7.076623377
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,,,,,,,,,,,,,,18,-11,4.142856551,0.019283747,11.34375,0.391184573,4.693973829,11.34375,7,6.702479339
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,,,,,,,,,,,,,,46,-16,2.066666598,0.032119914,13.73529412,0.340471092,5.630306084,13.73529412,6,6.573875803
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,,,,,,,,,,,,,,28,-5,1.434782546,0.046653144,19.72,0.39959432,8.047837728,19.72,2,6.551724138
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,,,,,,,,,,,,,,23,-11,2.833333097,0.015957447,25.06666667,0.303191489,10.14794326,25.06666667,4,6.144946809
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,,,,,,,,,,,,,,32,-17,3.266666449,0.021156559,15.41304348,0.385049365,6.319237137,15.41304348,3,6.480959097
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,,,,,,,,,,,,,,44,-29,4.866666342,0.017162471,15.06896552,0.323798627,6.157105658,15.06896552,27,6.135011442
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,,,,,,,,,,,,,,41,-29,5.833332847,0.014796547,18.43181818,0.404438964,7.534502858,18.43181818,8,6.688039457
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,,,,,,,,,,,,,,82,-37,2.644444386,0.034272658,16.4125,0.435643564,6.739257426,16.4125,1,6.978674791
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,,,,,,,,,,,,,,69,-39,3.59999988,0.033039648,10.68235294,0.345814978,4.411267168,10.68235294,5,6.400881057
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,,,,,,,,,,,,,,75,-35,2.749999931,0.034934498,12.72222222,0.468995633,5.276487142,12.72222222,2,7.099563319
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,,,,,,,,,,,,,,75,-26,2.061224448,0.047434656,10.64948454,0.346563408,4.398419177,10.64948454,16,6.339787028
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,,,,,,,,,,,,,,62,-27,2.54285707,0.031000886,13.76829268,0.373782108,5.656829916,13.76829268,11,6.56421612
33,blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,,,,,,,,,,,,,,59,-28,2.806451522,0.03817734,13.31147541,0.374384236,5.474343859,13.31147541,19,6.634236453
34,blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,,,,,,,,,,,,,,31,-14,2.647058668,0.029982363,11.34,0.412698413,4.701079365,11.34,6,6.555555556
35,blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,,46,-16,2.066666598,0.055658627,13.14634146,0.3432282,5.395827866,13.14634146,3,6.317254174
36,blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,,,,,,,,,,,,,,82,-44,3.315789386,0.027757487,15.91860465,0.388604821,6.522883789,15.91860465,11,6.471877283
37,blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,,,,,,,,,,,,,,60,-64,-31.00000775,-0.003249391,12.95789474,0.405361495,5.345302493,12.95789474,2,6.604386677
38,blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,,,,,,,,,,,,,,48,-22,2.692307589,0.031026253,13.3015873,0.455847255,5.502973823,13.3015873,8,7.050119332
